A000	aho, au, aye, awe, ayo, awai, ayaia, aiu, aue, aoay, ahyou, awyie, aw, ao, ahia, ahhee
A100	abbey, aube, abe, avey, ayoub, apo, abbe, abee, ave, app, abu, ape, abo, abby, ayoob, appiah, aivao, avie, apa, afoa, abbay, abaya, aaby, appia, aiava
A110	abeb, aipopo
A112	abubakr
A114	afable
A120	avis, abbas, apuzzo, abbs, abegg, apsey, abbassi, abbasi, abes, apaez, apuzzi, abke, abaja
A121	abusufait
A123	abston, abasta, apostal, apostol, affagato, aboshihata
A124	apicella, afzal, abascal, absalon, abousaleh
A125	aubuchon, apkin, apking, abson, avison, abugn, abkemeier, abigantus, abajian
A126	absher, abshire, apgar, abshier, afshari, abshear, apshire, apker, afshar
A130	abbott, abeyta, abbate, abad, abdo, avitia, abate, abadie, abeita, abbot, abboud, abt, abdi, abadi, abbitt, aubut, abood, abud, avita, apt, abedi, aboud, abed, abuaita, abbed
A131	avitabile
A132	apodaca, apodoca, abts, apodace, apadoca, avetisyan, aboytes, abbadessa, apadaca
A134	abdullah, abdul, abdallah, abdalla, abdulla, abdelhamid, abdool, abdullai, abdulkarim, abdelrahman, abatiell, abdula, abedelah, abdulmateen, abdelwahed, abdella, abdeldayen, abdel, abdulmuniem, abdulaziz, abdelmuti, abdelaziz, abdelal, abbatiello
A135	abitong, afton, abdon, abdin
A136	aufderheide, abdur, abetrani, apthorpe
A140	avila, abel, abell, apple, appel, able, apel, avilla, appell, auvil, abila, abele, abella, avella, apfel, apolo, avolio, appello, avello, auble, apollo, abilay, abuhl, ablao, avola
A141	appleby, applebaum, appleberry, applebee, appelbaum, afalava, applebury, abolafia
A142	avalos, aviles, applegate, ables, abels, avilez, abalos, abelson, applegarth, abaloz, appelgren, affleck, abeles, abilez, appelgate, aboulissan, aveles, afflick
A143	appleton, applewhite, apilado, affolter, abild, abolt, appelt, affeld, apolito, apalategui, aboulahoud, applewhaite, affelt, affeltranger
A144	aflalo
A145	appling, avallone, applin, apolinar, abplanalp, avelino, avellaneda, appleman, aplin, applen, appelman, abeln, aveline, appolonia, avellino, avellano, apland, abelman, appeling, apling, abling, ablin, ablang, applonie, aplington
A146	avelar, abler, abelar, appleyard, avellar, avilar, abellera, abelardo
A150	abney, aubin, avina, aben, avena, avino, apana, aveni, avon, apyuan, afan, avona, avenia, appana, abina
A152	avans, avinger, appenzeller, avance, avansino, afonso, avenoso, aavang, avanzato, abaunza, avancena, abington, abbington
A153	aponte, avant, avent, avendano, avants, afanador, abundis, abnet, abend, abendroth, abundiz, aponta
A155	abbamonte, abbenante, abbinanti
A156	abner, avner
A160	avery, abreu, aubrey, aybar, aubry, avera, aber, abare, abair, aver, auberry, abar, abreo, aprea, awbrey, aper, abrew, auber, avary, abreau, auprey, auffrey, aparo, aufiero, abrey
A161	abrev, averbach, averbeck, avarbuch
